target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	134.558	5.5177
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	0	0
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	27.6344	5.10224
Solyc08g008480.2.1	1106	927	1.35131	0.155835
Solyc01g014103.1.1	1428	1249	9	0.770317
Solyc04g011650.3.1	2656	2477	111	4.79056
Solyc11g065557.1.1	2040	1861	0	0
Solyc04g049610.3.1	4183	4004	3.13165	0.0836119
Solyc02g087935.1.1	2256	2077	855.708	44.0431
Solyc02g085370.3.1	4460	4281	50.7541	1.2674
Solyc01g095480.3.1	2429	2250	175.551	8.34085
Solyc05g044580.3.1	629	450	14	3.32587
Solyc02g065220.3.1	3659	3480	203	6.236
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	4	0.234822
Solyc07g025390.3.1	1666	1487	45	3.23512
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	0	0
Solyc12g035822.1.1	447	268	1	0.398891
Solyc08g016080.3.1	2196	2017	202	10.7062
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	1.09985	0.155937
Solyc09g090530.3.1	861	682	26.6731	4.18098
Solyc04g009610.2.1	353	174	7	4.30069
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	67	2.30009
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	64.0817	4.68572
Solyc08g062290.3.1	1120	941	28.8054	3.27245
Solyc11g062120.2.1	3045	2866	12	0.447604
Solyc05g006680.3.1	2159	1980	21	1.13382
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	7.0981	0.3383
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	2	0.230643
Solyc12g039000.2.1	716	537	2.53368	0.50439
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	303	10.8769
Solyc03g005480.3.1	1679	1500	4	0.285074
Solyc07g062550.3.1	2545	2366	80	3.61463
Solyc05g005210.3.1	1678	1499	210	14.9764
Solyc08g016440.3.1	989	810	2	0.263958
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	2	1.18125
Solyc09g083240.3.1	647	468	14	3.19795
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	27	3.31006
Solyc04g054660.2.1	555	376	18.5145	5.26398
Solyc10g080940.2.1	2583	2404	1979.83	88.0406
Solyc04g005680.3.1	1979	1800	3212.07	190.767
Solyc05g051290.3.1	1387	1208	336	29.7346
Solyc04g050440.3.1	1797	1618	55	3.6339
Solyc01g059853.1.1	516	337	0	0
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	508.124	13.3333
Solyc06g007680.2.1	2063	1884	46	2.61015
Solyc01g089960.3.1	1197	1018	29	3.04537
Solyc03g006120.3.1	1661	1482	0	0
Solyc07g054000.3.1	701	522	1	0.204795
Solyc02g032360.3.1	521	342	2	0.625163
Solyc02g089140.2.1	447	268	0	0
Solyc03g062910.3.1	5017	4838	10.7751	0.238091
Solyc08g014020.3.1	624	445	98.1235	23.5723
Solyc06g043113.1.1	1455	1276	3.44471	0.288597
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	40	1.0208
Solyc08g067670.3.1	656	477	54.1699	12.1403
Solyc10g084180.2.1	3498	3319	343	11.0478
Solyc07g041510.2.1	3769	3590	266	7.92093
Solyc03g118770.3.1	1385	1206	4	0.35457
Solyc07g024015.1.1	8967	8788	0	0
Solyc07g009360.2.1	363	184	1	0.580994
Solyc03g082950.3.1	878	699	5	0.764684
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	0	0
Solyc01g006790.2.1	731	552	31	6.0036
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	6	0.649207
Solyc05g051340.2.1	2629	2450	31	1.35265
Solyc09g075840.3.1	328	149	4	2.86987
Solyc03g058370.2.1	1017	838	0	0
Solyc05g007250.3.1	1074	895	1412.62	168.73
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	15.5388	0.209819
Solyc04g051680.3.1	2052	1873	27	1.54104
Solyc04g082200.2.1	1157	978	6970	761.874
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	521	28.8134
Solyc08g036560.2.1	741	562	59	11.2229
Solyc01g090340.2.1	988	809	12	1.5857
Solyc08g076720.3.1	4114	3935	36	0.978018
Solyc02g068930.3.1	1005	826	61	7.89476
Solyc01g095170.2.1	922	743	10	1.4388
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	5	0.229504
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	6.08362	0.276395
Solyc03g044273.1.1	5441	5262	1	0.020316
Solyc09g005730.3.1	735	556	8	1.53817
Solyc04g079830.2.1	2469	2290	289	13.4912
Solyc07g041820.2.1	3138	2959	0	0
Solyc01g044510.2.1	547	368	0	0
Solyc03g071853.1.1	894	715	0	0
Solyc01g095070.3.1	869	690	257	39.8174
Solyc06g007890.3.1	568	389	16.9635	4.66182
Solyc09g055610.2.1	105	5.29865	0	0
Solyc04g009590.3.1	568	389	5	1.37407
Solyc02g077240.3.1	2165	1986	4668	251.27
Solyc03g083100.3.1	1862	1683	120	7.6223
Solyc08g006645.1.1	406	227	0	0
Solyc04g007825.1.1	1329	1150	537.829	49.9961
Solyc03g044060.3.1	3067	2888	40	1.48065
Solyc06g008980.3.1	1496	1317	30	2.43514
Solyc10g050757.1.1	1464	1285	0	0
Solyc01g094710.2.1	359	180	0	0
Solyc05g017830.2.1	232	53.2554	0	0
Solyc11g027940.2.1	462	283	0	0
Solyc03g034130.3.1	840	661	0	0
Solyc04g011990.2.1	3364	3185	1	0.0335645
Solyc07g017560.3.1	2822	2643	0	0
Solyc01g005380.2.1	1818	1639	50.7085	3.30743
Solyc12g005820.2.1	826	647	0	0
Solyc03g116170.3.1	1234	1055	236	23.9138
Solyc04g016010.3.1	2019	1840	41.4966	2.41093
Solyc12g098590.2.1	2992	2813	51	1.93816
Solyc03g082575.1.1	2097	1918	214.287	11.9436
Solyc09g020070.2.1	1401	1222	0	0
Solyc07g017330.2.1	730	551	0	0
Solyc01g021700.2.1	1146	967	0	0
Solyc09g055550.3.1	1685	1506	19	1.34871
Solyc01g014537.1.1	654	475	0	0
Solyc03g098750.3.1	1586	1407	171	12.9925
Solyc06g054230.3.1	1995	1816	2	0.117734
Solyc09g010340.2.1	1272	1093	0	0
Solyc06g043140.3.1	1035	856	15.938	1.99045
Solyc03g034165.1.1	1203	1024	1.79965	0.187878
Solyc01g012640.2.1	561	382	0	0
Solyc05g023660.2.1	1239	1060	0	0
Solyc11g008140.2.1	1826	1647	31	2.01214
Solyc02g062930.3.1	1567	1388	225	17.3293
Solyc08g066400.2.1	953	774	0	0
Solyc10g036690.2.1	93	4.74468	0	0
Solyc09g011710.3.1	939	760	391	54.9987
Solyc12g096860.2.1	2683	2504	8	0.341543
Solyc02g063040.3.1	1276	1097	25	2.43625
Solyc06g076840.2.1	2830	2651	0	0
Solyc01g056940.2.1	756	577	2830.42	524.401
Solyc06g054620.3.1	855	676	29.8668	4.72315
Solyc01g056270.2.1	701	522	4	0.819179
Solyc01g020230.3.1	2531	2352	8.15332	0.370584
Solyc01g014107.1.1	766	587	3	0.546352
Solyc06g052140.2.1	885	706	0	0
Solyc05g052990.3.1	658	479	71	15.8457
Solyc06g033810.2.1	609	430	0	0
Solyc01g009690.2.1	2586	2407	3.48546	0.154801
Solyc02g078420.2.1	309	130	1	0.822329
Solyc07g041240.2.1	468	289	0	0
Solyc12g038770.2.1	729	550	0	0
Solyc06g052080.3.1	2780	2601	178	7.31592
Solyc11g020740.2.1	90	4.62459	0	0
Solyc01g014180.3.1	976	797	1352	181.346
Solyc12g038350.2.1	872	693	0	0
Solyc03g031650.3.1	738	559	41	7.84081
Solyc11g072410.2.1	2582	2403	127.84	5.68725
Solyc06g008100.3.1	663	484	16	3.53398
Solyc09g083445.1.1	618	439	14.3207	3.48729
Solyc06g064740.3.1	358	179	5.84128	3.48854
Solyc02g062260.2.1	226	47.5399	0	0
Solyc11g006650.2.1	2753	2574	55	2.28425
Solyc10g008330.3.1	689	510	6	1.25768
Solyc10g036640.2.1	240	61.0822	0	0
Solyc11g063580.2.1	291	112	1	0.954489
Solyc01g111080.3.1	23222	23043	107.893	0.500546
Solyc04g071540.3.1	3007	2828	43	1.62547
Solyc12g062470.2.1	485	306	0	0
Solyc06g050840.3.1	977	798	17	2.27738
Solyc10g009530.3.1	1365	1186	4	0.360549
Solyc07g052480.3.1	3041	2862	3272.98	122.254
Solyc01g008410.2.1	2163	1984	0	0
Solyc11g072650.2.1	1699	1520	0	0
Solyc01g101080.2.1	666	487	0	0
Solyc06g011490.3.1	1249	1070	3626	362.271
Solyc09g020130.3.1	1655	1476	1369.7	99.2039
Solyc11g012600.2.1	1028	849	0	0
Solyc03g096645.1.1	4058	3879	263	7.24812
Solyc02g070420.2.1	1007	828	13	1.67843
Solyc01g090710.3.1	1946	1767	9	0.544497
Solyc05g013230.2.1	342	163	0	0
Solyc11g028080.2.1	685	506	47	9.92971
Solyc03g032030.3.1	1722	1543	16	1.10852
Solyc06g053950.2.1	645	466	16	3.67048
Solyc12g009050.2.1	2268	2089	24	1.22818
Solyc09g015100.3.1	446	267	0	0
Solyc08g061740.2.1	261	82.002	0	0
Solyc07g008020.3.1	817	638	34	5.69702
Solyc07g005470.3.1	2223	2044	19	0.993715
Solyc12g042880.2.1	1074	895	5	0.597222
Solyc07g066275.1.1	1327	1148	147.743	13.758
Solyc01g017410.2.1	501	322	1	0.331996
Solyc02g014490.3.1	2997	2818	0	0
Solyc07g014585.1.1	1067	888	0	0
Solyc08g059780.2.1	1452	1273	0	0
Solyc02g080590.3.1	821	642	179	29.8062
Solyc01g066580.2.1	135	7.48819	0	0
Solyc02g089930.3.1	2658	2479	101	4.35546
Solyc04g081560.3.1	2712	2533	8	0.337632
Solyc12g010740.2.1	949	770	17	2.36019
Solyc09g030420.3.1	357	178	0	0
Solyc09g056430.3.1	1825	1646	7	0.454629
Solyc07g009280.3.1	518	339	0	0
Solyc07g032670.2.1	1243	1064	0	0
Solyc04g018000.2.1	1215	1036	0	0
Solyc01g057490.3.1	442	263	3	1.21942
Solyc04g006990.3.1	1321	1142	38	3.55719
Solyc04g009900.3.1	1390	1211	9.26865	0.818204
Solyc02g021063.1.1	1655	1476	15.9568	1.15571
Solyc04g072470.3.1	508	329	0	0
Solyc06g082020.3.1	489	310	21	7.2418
Solyc11g072800.2.1	4144	3965	0	0
Solyc08g080110.3.1	2880	2701	90	3.56211
Solyc08g074680.2.1	5534	5355	356	7.10689
Solyc00g005850.2.1	566	387	0	0
Solyc12g009745.1.1	2898	2719	1.5	0.0589754
Solyc10g008210.3.1	4197	4018	32	0.851391
Solyc06g072480.1.1	516	337	0	0
Solyc09g057715.1.1	519	340	0	0
Solyc05g015710.3.1	1126	947	430	48.5409
Solyc12g097070.2.1	1320	1141	40	3.74769
Solyc12g019340.1.1	183	17.7996	0	0
Solyc05g006260.1.1	183	17.7996	0	0
Solyc01g067380.3.1	1781	1602	102	6.80655
Solyc12g042120.2.1	508	329	4	1.29973
Solyc07g006800.1.1	1362	1183	0	0
Solyc09g009280.1.1	885	706	3	0.454261
Solyc06g005070.2.1	2155	1976	9	0.486906
Solyc11g066760.2.1	2304	2125	68.4809	3.44508
Solyc06g071540.3.1	3375	3196	3	0.100347
Solyc09g065150.1.1	150	9.35544	0	0
Solyc10g081230.2.1	1185	1006	0	0
Solyc01g106390.3.1	2020	1841	111	6.44553
Solyc09g007080.3.1	5868	5689	737.788	13.8639
Solyc11g066500.2.1	3576	3397	119	3.7449
Solyc01g102637.1.1	282	103	0	0
Solyc03g060510.3.1	1738	1559	51	3.49714
Solyc11g066460.1.1	651	472	32	7.24765
Solyc06g082800.3.1	1406	1227	293.499	25.5712
Solyc01g105290.3.1	1594	1415	69	5.21293
Solyc08g062965.1.1	528	349	0	0
Solyc03g058900.2.1	501	322	0	0
Solyc11g011542.1.1	477	298	7	2.51114
Solyc03g007860.1.1	558	379	47	13.2571
Solyc06g048620.3.1	4542	4363	30	0.735064
Solyc03g006490.3.1	1155	976	3635	398.147
Solyc11g017373.1.1	738	559	0	0
Solyc09g060100.3.1	5908	5729	9.88242	0.184405
Solyc03g006950.2.1	2238	2059	0	0
Solyc03g114300.3.1	2676	2497	91	3.89594
Solyc02g011755.1.1	321	142	1	0.752837
Solyc11g010105.1.1	741	562	41	7.79896
Solyc09g092080.3.1	862	683	301.479	47.1873
Solyc05g055160.3.1	2243	2064	7856.11	406.899
Solyc06g053780.3.1	2021	1842	100	5.80363
Solyc07g055920.3.1	1156	977	63	6.89343
Solyc02g062040.3.1	1448	1269	26.0679	2.19601
Solyc05g046390.3.1	754	575	551	102.441
Solyc09g042300.2.1	2512	2333	0	0
Solyc03g044600.2.1	1206	1027	20.6674	2.15131
Solyc11g067270.1.1	1293	1114	10	0.95963
Solyc09g083370.3.1	1089	910	113.92	13.3828
Solyc09g018235.1.1	789	610	0	0
Solyc03g115845.1.1	300	121	0	0
Solyc07g065280.3.1	693	514	438	91.0962
Solyc10g018885.1.1	357	178	21	12.6121
Solyc10g051050.2.1	2773	2594	14.4598	0.595912
Solyc03g007680.3.1	1191	1012	169	17.8523
Solyc03g115800.1.1	1281	1102	0	0
Solyc05g005910.3.1	1815	1636	0	0
Solyc07g032300.1.1	213	36.0583	0	0
Solyc01g091860.3.1	3645	3466	109	3.36192
Solyc12g098660.2.1	1485	1306	20	1.6371
Solyc04g057890.3.1	4289	4110	368.612	9.58774
Solyc06g008960.3.1	4420	4241	123	3.10046
Solyc02g030520.1.1	69	3.93736	0	0
Solyc10g044967.1.1	720	541	0	0
Solyc07g026705.1.1	641	462	1	0.231391
Solyc07g039384.1.1	453	274	0	0
Solyc08g005440.3.1	3192	3013	13	0.461247
Solyc01g005610.3.1	1068	889	0	0
Solyc04g050345.1.1	390	211	0	0
Solyc10g086290.2.1	1363	1184	0	0
Solyc12g035860.1.1	315	136	0	0
Solyc05g016473.1.1	3230	3051	0	0
Solyc02g088954.1.1	675	496	0	0
Solyc08g082330.3.1	484	305	6	2.10301
Solyc05g026050.3.1	1505	1326	244	19.6714
Solyc10g050630.1.1	315	136	0	0
Solyc07g039540.1.1	246	67.0317	0	0
Solyc01g096185.1.1	435	256	11	4.59348
Solyc07g021740.2.1	811	632	0	0
Solyc02g062375.1.1	3217	3038	315.306	11.0952
Solyc12g009620.2.1	1820	1641	195	12.7033
Solyc05g012170.2.1	783	604	0	0
Solyc01g103803.1.1	699	520	0	0
Solyc12g087900.2.1	1377	1198	0	0
Solyc09g090660.3.1	2092	1913	847.541	47.3625
Solyc02g081700.1.1	747	568	493	92.7871
Solyc08g079580.1.1	447	268	0	0
Solyc04g057880.3.1	6172	5993	143.388	2.55776
Solyc05g021090.3.1	1542	1363	11.7053	0.918068
Solyc06g082000.3.1	2271	2092	8	0.408806
Solyc11g045540.1.1	447	268	0	0
Solyc10g084360.1.1	165	12.1958	0	0
Solyc03g062745.1.1	441	262	0.780017	0.318267
Solyc04g050550.2.1	2358	2179	29	1.42275
Solyc05g024454.1.1	521	342	0	0
Solyc09g016957.1.1	339	160	0	0
Solyc09g060170.1.1	1035	856	0	0
Solyc05g055790.3.1	2662	2483	100	4.30539
Solyc01g096255.1.1	405	226	0	0
Solyc05g054170.3.1	4313	4134	194	5.01673
Solyc01g005730.3.1	3708	3529	20.7546	0.628713
Solyc10g018355.1.1	780	601	0	0
Solyc08g076830.1.1	1026	847	16	2.01942
Solyc10g045040.1.1	225	46.6066	0	0
Solyc03g081203.1.1	183	17.7996	0	0
Solyc02g085700.2.1	2892	2713	307	12.097
Solyc12g008580.2.1	2991	2812	56	2.12893
Solyc08g014290.1.1	1188	1009	76	8.05214
Solyc01g102970.3.1	2799	2620	113	4.61069
Solyc08g044540.1.1	225	46.6066	0	0
Solyc06g060270.3.1	3396	3217	13	0.431998
Solyc06g072570.3.1	1211	1032	283	29.3154
Solyc01g109070.2.1	616	437	161	39.3852
Solyc05g041900.1.1	285	106	0	0
Solyc01g010050.3.1	1875	1696	1306	82.3202
Solyc08g061450.2.1	1512	1333	7	0.56138
Solyc10g055740.2.1	1711	1532	54	3.76811
Solyc01g086900.3.1	3177	2998	99	3.53015
Solyc11g007120.2.1	1251	1072	85	8.47644
Solyc01g104448.1.1	516	337	4	1.26888
Solyc01g060410.3.1	279	100	0	0
Solyc02g080470.3.1	3187	3008	162	5.7574
Solyc08g045760.1.1	261	82.002	0	0
Solyc11g008720.2.1	2785	2606	119	4.88159
Solyc05g051840.1.1	1134	955	55	6.15671
Solyc02g084550.3.1	1100	921	332.541	38.5989
Solyc04g017965.1.1	300	121	0	0
Solyc07g045250.1.1	213	36.0583	16	47.4355
Solyc02g092420.3.1	2392	2213	44	2.1255
Solyc10g055650.2.1	3037	2858	473	17.6925
Solyc07g007290.1.1	1572	1393	1	0.0767429
Solyc06g068930.2.1	1137	958	4	0.446358
Solyc05g009050.3.1	4077	3898	68.7733	1.88611
Solyc04g054730.3.1	2506	2327	110	5.05342
Solyc03g034201.1.1	498	319	0	0
Solyc06g007165.1.1	2062	1883	14	0.794816
Solyc03g013630.3.1	2749	2570	50.8711	2.11605
Solyc03g112200.1.1	756	577	111	20.5654
Solyc02g083630.3.1	2225	2046	63.4076	3.31303
Solyc02g092810.3.1	868	689	22	3.41344
Solyc10g082060.1.1	759	580	0	0
Solyc01g087570.2.1	548	369	223	64.6052
Solyc09g063140.3.1	2272	2093	247.661	12.6496
Solyc01g060210.3.1	456	277	4	1.54372
Solyc02g069515.1.1	1210	1031	25	2.59221
Solyc02g070210.3.1	1637	1458	169	12.3913
Solyc09g008950.1.1	828	649	0	0
Solyc03g116390.3.1	617	438	1	0.24407
Solyc06g071340.1.1	96	4.87155	0	0
Solyc11g017470.2.1	1385	1206	1321	117.097
Solyc02g030630.1.1	921	742	0	0
Solyc08g083175.1.1	396	217	0	0
Solyc08g048250.3.1	1857	1678	63	4.01363
Solyc12g032937.1.1	345	166	0	0
Solyc09g009190.3.1	2730	2551	113	4.73541
Solyc12g006870.2.1	1232	1053	419	42.5378
Solyc07g008350.3.1	1670	1491	349	25.0229
Solyc08g068640.3.1	5247	5068	117.698	2.48268
Solyc02g021520.1.1	279	100	0	0
Solyc09g007250.3.1	1648	1469	2423.27	176.347
Solyc12g087870.2.1	1737	1558	79	5.42062
Solyc03g058213.1.1	309	130	1	0.822329
Solyc02g079280.3.1	1274	1095	5	0.488141
Solyc08g008630.3.1	1303	1124	295	28.0572
Solyc06g005310.3.1	1358	1179	3.36059	0.304713
Solyc12g049120.2.1	1332	1153	0	0
Solyc09g072940.2.1	858	679	0	0
Solyc08g075540.3.1	2634	2455	238	10.3637
Solyc09g091510.3.1	1452	1273	141	11.8408
Solyc04g016177.1.1	1251	1072	135	13.4626
Solyc03g120050.3.1	1594	1415	23.6179	1.78432
Solyc05g018453.1.1	867	688	0	0
Solyc07g065320.3.1	4946	4767	123	2.75835
Solyc05g013560.3.1	448	269	73	29.0108
Solyc01g108380.2.1	1059	880	0	0
Solyc06g035943.1.1	780	601	0	0
Solyc08g006251.1.1	678	499	0	0
Solyc05g025810.3.1	1306	1127	24	2.27655
Solyc03g115350.2.1	507	328	0	0
Solyc12g011190.2.1	1418	1239	85	7.33393
Solyc11g071423.1.1	2259	2080	17.1008	0.878904
Solyc10g045555.1.1	393	214	0	0
Solyc08g080585.1.1	714	535	108.421	21.6645
Solyc02g005115.1.1	550	371	0	0
