target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2607	144.016	6.36984
Solyc05g010600.3.1	1637	1458	0	0
Solyc04g017960.2.1	150	9.35544	0	0
Solyc04g045315.1.1	1611	1432	0	0
Solyc04g072770.3.1	3093	2914	14.2146	0.562477
Solyc01g015070.3.1	608	429	0	0
Solyc08g076580.2.1	758	579	13.8903	2.76626
Solyc08g008480.2.1	1106	927	2.70262	0.336174
Solyc01g014103.1.1	1428	1249	7	0.646241
Solyc04g011650.3.1	2656	2477	188	8.75166
Solyc11g065557.1.1	2040	1861	1	0.0619601
Solyc04g049610.3.1	4183	4004	19.3643	0.557655
Solyc02g087935.1.1	2256	2077	397.723	22.0802
Solyc02g085370.3.1	4460	4281	36.4106	0.98071
Solyc01g095480.3.1	2429	2250	108.933	5.5826
Solyc05g044580.3.1	629	450	14	3.58735
Solyc02g065220.3.1	3659	3480	139.839	4.63349
Solyc04g017890.2.1	969	790	0	0
Solyc05g009620.3.1	2000	1821	3	0.189963
Solyc07g025390.3.1	1666	1487	41	3.1793
Solyc01g090660.3.1	2518	2339	0	0
Solyc11g020875.1.1	1848	1669	5	0.34544
Solyc12g035822.1.1	447	268	2	0.860506
Solyc08g016080.3.1	2196	2017	306	17.4934
Solyc07g039230.2.1	345	166	0	0
Solyc06g048800.2.1	648	469	0	0
Solyc06g016800.2.1	933	754	0	0
Solyc09g090530.3.1	861	682	1.35168	0.228533
Solyc04g009610.2.1	353	174	2	1.32538
Solyc07g055960.2.1	123	6.43085	0	0
Solyc11g007670.2.1	3293	3114	121	4.48049
Solyc03g116240.3.1	330	151	0	0
Solyc01g109210.2.1	1641	1462	41.085	3.24037
Solyc08g062290.3.1	1120	941	29	3.55359
Solyc11g062120.2.1	3045	2866	7	0.281631
Solyc05g006680.3.1	2159	1980	35	2.03827
Solyc07g009550.2.1	324	145	0	0
Solyc02g093650.3.1	2422	2243	3.54905	0.182449
Solyc06g070910.2.1	1456	1277	0	0
Solyc05g013120.3.1	1106	927	3	0.373164
Solyc12g039000.2.1	716	537	2.62113	0.562824
Solyc04g072750.2.1	239	60.0956	0	0
Solyc04g080560.2.1	417	238	0	0
Solyc06g007110.3.1	3157	2978	303	11.7321
Solyc03g005480.3.1	1679	1500	81	6.22662
Solyc07g062550.3.1	2545	2366	20	0.974706
Solyc05g005210.3.1	1678	1499	264	20.3077
Solyc08g016440.3.1	989	810	48	6.83305
Solyc01g049640.2.1	399	220	0	0
Solyc08g028915.1.1	360	181	4	2.54824
Solyc09g083240.3.1	647	468	39	9.60898
Solyc09g056410.2.1	678	499	0	0
Solyc03g059050.2.1	1051	872	102	13.4878
Solyc04g054660.2.1	555	376	30.1252	9.23847
Solyc10g080940.2.1	2583	2404	526.033	25.2312
Solyc04g005680.3.1	1979	1800	2073.69	132.84
Solyc05g051290.3.1	1387	1208	115	10.9771
Solyc04g050440.3.1	1797	1618	42	2.99316
Solyc01g059853.1.1	516	337	1	0.34216
Solyc03g078580.3.1	543	364	0	0
Solyc01g106930.3.1	562	383	0	0
Solyc07g005590.3.1	4253	4074	629.612	17.8201
Solyc06g007680.2.1	2063	1884	39	2.38694
Solyc01g089960.3.1	1197	1018	13	1.4725
Solyc03g006120.3.1	1661	1482	2	0.155611
Solyc07g054000.3.1	701	522	2	0.441792
Solyc02g032360.3.1	521	342	0	0
Solyc02g089140.2.1	447	268	4	1.72101
Solyc03g062910.3.1	5017	4838	8.62004	0.205448
Solyc08g014020.3.1	624	445	38.5485	9.98864
Solyc06g043113.1.1	1455	1276	2	0.180733
Solyc01g150007.1.1	444	265	0	0
Solyc09g031543.1.1	4368	4189	40	1.10105
Solyc08g067670.3.1	656	477	73.0576	17.6606
Solyc10g084180.2.1	3498	3319	217	7.53895
Solyc07g041510.2.1	3769	3590	195	6.26324
Solyc03g118770.3.1	1385	1206	23	2.19907
Solyc07g024015.1.1	8967	8788	0	0
Solyc07g009360.2.1	363	184	0	0
Solyc03g082950.3.1	878	699	0	0
Solyc11g022440.2.1	258	79.0036	0	0
Solyc03g019970.3.1	1779	1600	0	0
Solyc01g006790.2.1	731	552	8	1.67113
Solyc05g018220.2.1	558	379	0	0
Solyc01g107220.2.1	1167	988	28	3.26783
Solyc05g051340.2.1	2629	2450	66	3.10625
Solyc09g075840.3.1	328	149	0	0
Solyc03g058370.2.1	1017	838	6	0.825593
Solyc05g007250.3.1	1074	895	1148.24	147.934
Solyc04g048980.3.1	553	374	0	0
Solyc01g011091.1.1	8096	7917	50.501	0.735526
Solyc04g051680.3.1	2052	1873	14.1611	0.871804
Solyc04g082200.2.1	1157	978	19866	2342.23
Solyc11g044632.1.1	686	507	0	0
Solyc06g007430.2.1	2112	1933	439	26.1873
Solyc08g036560.2.1	741	562	48	9.84835
Solyc01g090340.2.1	988	809	7	0.997719
Solyc08g076720.3.1	4114	3935	87	2.54937
Solyc02g068930.3.1	1005	826	39	5.44431
Solyc01g095170.2.1	922	743	39	6.05249
Solyc07g018400.3.1	174	14.6185	0	0
Solyc07g006300.3.1	2508	2329	7	0.346567
Solyc09g072910.2.1	1314	1135	0	0
Solyc08g075320.3.1	2532	2353	63	3.08729
Solyc03g044273.1.1	5441	5262	7	0.153393
Solyc09g005730.3.1	735	556	66	13.6876
Solyc04g079830.2.1	2469	2290	223	11.2287
Solyc07g041820.2.1	3138	2959	0	0
Solyc01g044510.2.1	547	368	0	0
Solyc03g071853.1.1	894	715	0	0
Solyc01g095070.3.1	869	690	394	65.8424
Solyc06g007890.3.1	568	389	16	4.74274
Solyc09g055610.2.1	105	5.29865	0	0
Solyc04g009590.3.1	568	389	8	2.37137
Solyc02g077240.3.1	2165	1986	1569	91.0966
Solyc03g083100.3.1	1862	1683	111	7.60497
Solyc08g006645.1.1	406	227	0	0
Solyc04g007825.1.1	1329	1150	307	30.7822
Solyc03g044060.3.1	3067	2888	50	1.99633
Solyc06g008980.3.1	1496	1317	9	0.78798
Solyc10g050757.1.1	1464	1285	0	0
Solyc01g094710.2.1	359	180	0	0
Solyc05g017830.2.1	232	53.2554	0	0
Solyc11g027940.2.1	462	283	0	0
Solyc03g034130.3.1	840	661	1	0.174444
Solyc04g011990.2.1	3364	3185	0	0
Solyc07g017560.3.1	2822	2643	0	0
Solyc01g005380.2.1	1818	1639	18.722	1.31714
Solyc12g005820.2.1	826	647	1	0.178219
Solyc03g116170.3.1	1234	1055	167	18.2525
Solyc04g016010.3.1	2019	1840	84.1143	5.27121
Solyc12g098590.2.1	2992	2813	22	0.901803
Solyc03g082575.1.1	2097	1918	137.567	8.27035
Solyc09g020070.2.1	1401	1222	0	0
Solyc07g017330.2.1	730	551	0	0
Solyc01g021700.2.1	1146	967	0	0
Solyc09g055550.3.1	1685	1506	9	0.68909
Solyc01g014537.1.1	654	475	0	0
Solyc03g098750.3.1	1586	1407	476	39.0096
Solyc06g054230.3.1	1995	1816	0	0
Solyc09g010340.2.1	1272	1093	0	0
Solyc06g043140.3.1	1035	856	17.1073	2.30444
Solyc03g034165.1.1	1203	1024	6.17515	0.695355
Solyc01g012640.2.1	561	382	0	0
Solyc05g023660.2.1	1239	1060	0	0
Solyc11g008140.2.1	1826	1647	1	0.0700108
Solyc02g062930.3.1	1567	1388	211	17.5288
Solyc08g066400.2.1	953	774	0	0
Solyc10g036690.2.1	93	4.74468	0	0
Solyc09g011710.3.1	939	760	304	46.1231
Solyc12g096860.2.1	2683	2504	2	0.0920989
Solyc02g063040.3.1	1276	1097	52	5.46582
Solyc06g076840.2.1	2830	2651	0	0
Solyc01g056940.2.1	756	577	2277	455.036
Solyc06g054620.3.1	855	676	45.3484	7.73524
Solyc01g056270.2.1	701	522	0	0
Solyc01g020230.3.1	2531	2352	1.19484	0.0585774
Solyc01g014107.1.1	766	587	1	0.196436
Solyc06g052140.2.1	885	706	0	0
Solyc05g052990.3.1	658	479	21	5.05525
Solyc06g033810.2.1	609	430	0	0
Solyc01g009690.2.1	2586	2407	13.3496	0.639516
Solyc02g078420.2.1	309	130	7	6.20888
Solyc07g041240.2.1	468	289	0	0
Solyc12g038770.2.1	729	550	0	0
Solyc06g052080.3.1	2780	2601	142	6.29516
Solyc11g020740.2.1	90	4.62459	0	0
Solyc01g014180.3.1	976	797	1418	205.152
Solyc12g038350.2.1	872	693	0	0
Solyc03g031650.3.1	738	559	121	24.9593
Solyc11g072410.2.1	2582	2403	137.56	6.60082
Solyc06g008100.3.1	663	484	31	7.38542
Solyc09g083445.1.1	618	439	17.4815	4.59169
Solyc06g064740.3.1	358	179	8.41348	5.41978
Solyc02g062260.2.1	226	47.5399	0	0
Solyc11g006650.2.1	2753	2574	10	0.447971
Solyc10g008330.3.1	689	510	7	1.58266
Solyc10g036640.2.1	240	61.0822	0	0
Solyc11g063580.2.1	291	112	0	0
Solyc01g111080.3.1	23222	23043	228.329	1.14256
Solyc04g071540.3.1	3007	2828	68	2.77261
Solyc12g062470.2.1	485	306	2.29332	0.864173
Solyc06g050840.3.1	977	798	0	0
Solyc10g009530.3.1	1365	1186	3.40948	0.331484
Solyc07g052480.3.1	3041	2862	11463	461.835
Solyc01g008410.2.1	2163	1984	0	0
Solyc11g072650.2.1	1699	1520	0	0
Solyc01g101080.2.1	666	487	0	0
Solyc06g011490.3.1	1249	1070	2464	265.531
Solyc09g020130.3.1	1655	1476	1184.27	92.5176
Solyc11g012600.2.1	1028	849	18.7596	2.54785
Solyc03g096645.1.1	4058	3879	208	6.18304
Solyc02g070420.2.1	1007	828	5	0.696303
Solyc01g090710.3.1	1946	1767	2	0.130512
Solyc05g013230.2.1	342	163	0	0
Solyc11g028080.2.1	685	506	56	12.7613
Solyc03g032030.3.1	1722	1543	26	1.94297
Solyc06g053950.2.1	645	466	99	24.4967
Solyc12g009050.2.1	2268	2089	26.2173	1.44713
Solyc09g015100.3.1	446	267	0	0
Solyc08g061740.2.1	261	82.002	0	0
Solyc07g008020.3.1	817	638	79	14.2779
Solyc07g005470.3.1	2223	2044	39	2.2001
Solyc12g042880.2.1	1074	895	3	0.386507
Solyc07g066275.1.1	1327	1148	275.432	27.665
Solyc01g017410.2.1	501	322	2	0.716197
Solyc02g014490.3.1	2997	2818	2	0.0818366
Solyc07g014585.1.1	1067	888	0	0
Solyc08g059780.2.1	1452	1273	0	0
Solyc02g080590.3.1	821	642	142	25.5042
Solyc01g066580.2.1	135	7.48819	0	0
Solyc02g089930.3.1	2658	2479	153	7.11662
Solyc04g081560.3.1	2712	2533	2	0.0910444
Solyc12g010740.2.1	949	770	22	3.29451
Solyc09g030420.3.1	357	178	0	0
Solyc09g056430.3.1	1825	1646	117	8.19624
Solyc07g009280.3.1	518	339	0	0
Solyc07g032670.2.1	1243	1064	0	0
Solyc04g018000.2.1	1215	1036	0	0
Solyc01g057490.3.1	442	263	8	3.50746
Solyc04g006990.3.1	1321	1142	17	1.71649
Solyc04g009900.3.1	1390	1211	73.4839	6.99692
Solyc02g021063.1.1	1655	1476	21.9262	1.71292
Solyc04g072470.3.1	508	329	0	0
Solyc06g082020.3.1	489	310	8	2.97568
Solyc11g072800.2.1	4144	3965	4	0.116326
Solyc08g080110.3.1	2880	2701	238	10.1604
Solyc08g074680.2.1	5534	5355	440.379	9.48256
Solyc00g005850.2.1	566	387	0	0
Solyc12g009745.1.1	2898	2719	0	0
Solyc10g008210.3.1	4197	4018	40	1.14791
Solyc06g072480.1.1	516	337	3	1.02648
Solyc09g057715.1.1	519	340	0	0
Solyc05g015710.3.1	1126	947	543	66.1163
Solyc12g097070.2.1	1320	1141	10	1.01059
Solyc12g019340.1.1	183	17.7996	0	0
Solyc05g006260.1.1	183	17.7996	0	0
Solyc01g067380.3.1	1781	1602	248	17.8504
Solyc12g042120.2.1	508	329	15	5.25719
Solyc07g006800.1.1	1362	1183	27.543	2.68464
Solyc09g009280.1.1	885	706	1	0.163325
Solyc06g005070.2.1	2155	1976	26	1.51721
Solyc11g066760.2.1	2304	2125	130	7.05412
Solyc06g071540.3.1	3375	3196	25	0.901969
Solyc09g065150.1.1	150	9.35544	0	0
Solyc10g081230.2.1	1185	1006	0	0
Solyc01g106390.3.1	2020	1841	188	11.775
Solyc09g007080.3.1	5868	5689	633.964	12.8495
Solyc11g066500.2.1	3576	3397	206	6.99246
Solyc01g102637.1.1	282	103	0	0
Solyc03g060510.3.1	1738	1559	46	3.40228
Solyc11g066460.1.1	651	472	22	5.37451
Solyc06g082800.3.1	1406	1227	246.556	23.1702
Solyc01g105290.3.1	1594	1415	125	10.1862
Solyc08g062965.1.1	528	349	0	0
Solyc03g058900.2.1	501	322	0	0
Solyc11g011542.1.1	477	298	6	2.32163
Solyc03g007860.1.1	558	379	16	4.86787
Solyc06g048620.3.1	4542	4363	9	0.237857
Solyc03g006490.3.1	1155	976	6171	729.062
Solyc11g017373.1.1	738	559	0	0
Solyc09g060100.3.1	5908	5729	22.5493	0.453851
Solyc03g006950.2.1	2238	2059	0	0
Solyc03g114300.3.1	2676	2497	99	4.57167
Solyc02g011755.1.1	321	142	2	1.62405
Solyc11g010105.1.1	741	562	25	5.12935
Solyc09g092080.3.1	862	683	235.536	39.7644
Solyc05g055160.3.1	2243	2064	5453.58	304.67
Solyc06g053780.3.1	2021	1842	89	5.57133
Solyc07g055920.3.1	1156	977	15	1.77033
Solyc02g062040.3.1	1448	1269	19	1.72644
Solyc05g046390.3.1	754	575	447	89.6393
Solyc09g042300.2.1	2512	2333	0	0
Solyc03g044600.2.1	1206	1027	1.07617	0.120829
Solyc11g067270.1.1	1293	1114	7	0.724555
Solyc09g083370.3.1	1089	910	31.8221	4.03223
Solyc09g018235.1.1	789	610	0	0
Solyc03g115845.1.1	300	121	1	0.952957
Solyc07g065280.3.1	693	514	352	78.9656
Solyc10g018885.1.1	357	178	28	18.1383
Solyc10g051050.2.1	2773	2594	39	1.73362
Solyc03g007680.3.1	1191	1012	54	6.15279
Solyc03g115800.1.1	1281	1102	0	0
Solyc05g005910.3.1	1815	1636	0	0
Solyc07g032300.1.1	213	36.0583	0	0
Solyc01g091860.3.1	3645	3466	66.1066	2.19925
Solyc12g098660.2.1	1485	1306	37	3.26676
Solyc04g057890.3.1	4289	4110	419.144	11.7593
Solyc06g008960.3.1	4420	4241	101	2.74607
Solyc02g030520.1.1	69	3.93736	0	0
Solyc10g044967.1.1	720	541	0	0
Solyc07g026705.1.1	641	462	0	0
Solyc07g039384.1.1	453	274	0	0
Solyc08g005440.3.1	3192	3013	8	0.306161
Solyc01g005610.3.1	1068	889	0	0
Solyc04g050345.1.1	390	211	0	0
Solyc10g086290.2.1	1363	1184	0	0
Solyc12g035860.1.1	315	136	0	0
Solyc05g016473.1.1	3230	3051	0	0
Solyc02g088954.1.1	675	496	0	0
Solyc08g082330.3.1	484	305	11	4.15864
Solyc05g026050.3.1	1505	1326	305	26.5225
Solyc10g050630.1.1	315	136	0	0
Solyc07g039540.1.1	246	67.0317	0	0
Solyc01g096185.1.1	435	256	2	0.900842
Solyc07g021740.2.1	811	632	0	0
Solyc02g062375.1.1	3217	3038	664.87	25.2352
Solyc12g009620.2.1	1820	1641	173	12.1562
Solyc05g012170.2.1	783	604	0	0
Solyc01g103803.1.1	699	520	0	0
Solyc12g087900.2.1	1377	1198	0	0
Solyc09g090660.3.1	2092	1913	706.642	42.5935
Solyc02g081700.1.1	747	568	521	105.766
Solyc08g079580.1.1	447	268	0	0
Solyc04g057880.3.1	6172	5993	148.294	2.85324
Solyc05g021090.3.1	1542	1363	9.57998	0.810452
Solyc06g082000.3.1	2271	2092	85	4.68507
Solyc11g045540.1.1	447	268	0	0
Solyc10g084360.1.1	165	12.1958	0	0
Solyc03g062745.1.1	441	262	0	0
Solyc04g050550.2.1	2358	2179	33	1.74629
Solyc05g024454.1.1	521	342	0	0
Solyc09g016957.1.1	339	160	0	0
Solyc09g060170.1.1	1035	856	0	0
Solyc05g055790.3.1	2662	2483	185	8.5912
Solyc01g096255.1.1	405	226	2.20513	1.12508
Solyc05g054170.3.1	4313	4134	326.352	9.10278
Solyc01g005730.3.1	3708	3529	47.4605	1.55074
Solyc10g018355.1.1	780	601	0	0
Solyc08g076830.1.1	1026	847	13	1.76978
Solyc10g045040.1.1	225	46.6066	0	0
Solyc03g081203.1.1	183	17.7996	1	6.47813
Solyc02g085700.2.1	2892	2713	207	8.7979
Solyc12g008580.2.1	2991	2812	36	1.4762
Solyc08g014290.1.1	1188	1009	74	8.45667
Solyc01g102970.3.1	2799	2620	88	3.87293
Solyc08g044540.1.1	225	46.6066	0	0
Solyc06g060270.3.1	3396	3217	11	0.394276
Solyc06g072570.3.1	1211	1032	312	34.8605
Solyc01g109070.2.1	616	437	164	43.2734
Solyc05g041900.1.1	285	106	0	0
Solyc01g010050.3.1	1875	1696	1734.43	117.92
Solyc08g061450.2.1	1512	1333	18	1.55704
Solyc10g055740.2.1	1711	1532	639	48.0951
Solyc01g086900.3.1	3177	2998	72.4742	2.78747
Solyc11g007120.2.1	1251	1072	101	10.8639
Solyc01g104448.1.1	516	337	0	0
Solyc01g060410.3.1	279	100	0	0
Solyc02g080470.3.1	3187	3008	178	6.8234
Solyc08g045760.1.1	261	82.002	0	0
Solyc11g008720.2.1	2785	2606	337	14.9113
Solyc05g051840.1.1	1134	955	54	6.52002
Solyc02g084550.3.1	1100	921	279	34.9304
Solyc04g017965.1.1	300	121	0	0
Solyc07g045250.1.1	213	36.0583	11	35.176
Solyc02g092420.3.1	2392	2213	40	2.08419
Solyc10g055650.2.1	3037	2858	509	20.5359
Solyc07g007290.1.1	1572	1393	0	0
Solyc06g068930.2.1	1137	958	19	2.2869
Solyc05g009050.3.1	4077	3898	47	1.39032
Solyc04g054730.3.1	2506	2327	8	0.396417
Solyc03g034201.1.1	498	319	0	0
Solyc06g007165.1.1	2062	1883	0	0
Solyc03g013630.3.1	2749	2570	16	0.717869
Solyc03g112200.1.1	756	577	29	5.79536
Solyc02g083630.3.1	2225	2046	26.3469	1.48485
Solyc02g092810.3.1	868	689	16	2.67768
Solyc10g082060.1.1	759	580	3.41878	0.679676
Solyc01g087570.2.1	548	369	113	35.3111
Solyc09g063140.3.1	2272	2093	53.1881	2.93025
Solyc01g060210.3.1	456	277	3	1.24882
Solyc02g069515.1.1	1210	1031	16	1.78945
Solyc02g070210.3.1	1637	1458	108	8.54132
Solyc09g008950.1.1	828	649	0	0
Solyc03g116390.3.1	617	438	309	81.3473
Solyc06g071340.1.1	96	4.87155	0	0
Solyc11g017470.2.1	1385	1206	6609	631.898
Solyc02g030630.1.1	921	742	0	0
Solyc08g083175.1.1	396	217	0	0
Solyc08g048250.3.1	1857	1678	48	3.29843
Solyc12g032937.1.1	345	166	0	0
Solyc09g009190.3.1	2730	2551	43	1.94364
Solyc12g006870.2.1	1232	1053	365	39.969
Solyc07g008350.3.1	1670	1491	226	17.4779
Solyc08g068640.3.1	5247	5068	285.846	6.50361
Solyc02g021520.1.1	279	100	0	0
Solyc09g007250.3.1	1648	1469	1802.41	141.478
Solyc12g087870.2.1	1737	1558	116	8.58517
Solyc03g058213.1.1	309	130	3	2.66095
Solyc02g079280.3.1	1274	1095	40	4.21216
Solyc08g008630.3.1	1303	1124	444	45.5486
Solyc06g005310.3.1	1358	1179	0	0
Solyc12g049120.2.1	1332	1153	0	0
Solyc09g072940.2.1	858	679	0	0
Solyc08g075540.3.1	2634	2455	2179	102.344
Solyc09g091510.3.1	1452	1273	58	5.25361
Solyc04g016177.1.1	1251	1072	64.2337	6.90918
Solyc03g120050.3.1	1594	1415	35.6661	2.90642
Solyc05g018453.1.1	867	688	0	0
Solyc07g065320.3.1	4946	4767	1214	29.3651
Solyc05g013560.3.1	448	269	52	22.29
Solyc01g108380.2.1	1059	880	0	0
Solyc06g035943.1.1	780	601	0	0
Solyc08g006251.1.1	678	499	0	0
Solyc05g025810.3.1	1306	1127	51	5.21801
Solyc03g115350.2.1	507	328	0	0
Solyc12g011190.2.1	1418	1239	65	6.04924
Solyc11g071423.1.1	2259	2080	30.6047	1.69661
Solyc10g045555.1.1	393	214	0	0
Solyc08g080585.1.1	714	535	42.8337	9.23189
Solyc02g005115.1.1	550	371	0	0
Solyc02g086660.3.1	3546	3367	93.4685	3.20096
Solyc04g070987.1.1	535	356	51.9762	16.835
Solyc03g096193.1.1	399	220	0	0
Solyc10g074520.2.1	1668	1489	12	0.929277
Solyc02g065360.3.1	2862	2683	135	5.80192
Solyc01g020570.2.1	1065	886	4.46948	0.581677
Solyc02g076790.3.1	1037	858	126	16.9333
Solyc03g080115.1.1	945	766	0	0
Solyc03g005470.3.1	839	660	1739	303.819
Solyc05g047540.3.1	4664	4485	164.094	4.21879
Solyc11g020471.1.1	882	703	0	0
Solyc05g005770.3.1	1621	1442	42	3.35848
Solyc03g044420.2.1	1271	1092	6	0.633559
Solyc06g072135.1.1	1409	1230	17	1.59368
Solyc04g054760.3.1	876	697	37	6.12107
Solyc05g014177.1.1	448	269	0	0
Solyc03g111705.1.1	792	613	0	0
Solyc07g015850.1.1	507	328	0	0
Solyc03g063290.3.1	850	671	75.7319	13.0141
Solyc09g020190.3.1	2061	1882	232	14.2143
Solyc11g008340.2.1	3580	3401	333	11.2901
Solyc12g019777.1.1	477	298	0	0
Solyc09g082740.1.1	288	109	0	0
Solyc03g051820.1.1	411	232	0	0
Solyc01g108820.1.1	768	589	0	0
Solyc09g008917.1.1	192	21.9418	0	0
Solyc11g072320.2.1	4765	4586	691.567	17.3884
Solyc03g112770.3.1	871	692	328	54.6546
Solyc04g054430.2.1	1054	875	92	12.1238
Solyc10g052660.2.1	600	421	780.458	213.76
Solyc04g083160.2.1	2894	2715	8	0.339765
Solyc02g088510.3.1	1452	1273	13.2895	1.20376
Solyc02g086920.2.1	2778	2599	3	0.133099
Solyc04g039830.2.1	636	457	0	0
Solyc08g062387.1.1	405	226	0	0
Solyc03g117720.3.1	1465	1286	2	0.179328
Solyc04g074165.1.1	420	241	10	4.78456
Solyc07g063080.3.1	2851	2672	12	0.517849
Solyc11g062195.1.1	489	310	0	0
Solyc07g062020.2.1	849	670	0	0
Solyc04g050823.1.1	585	406	0	0
Solyc01g108080.3.1	384	205	6	3.37486
Solyc08g066460.2.1	935	756	1	0.152524
Solyc08g006000.3.1	1005	826	559	78.0352
Solyc03g007825.1.1	885	706	23.9426	3.91044
Solyc03g031655.1.1	882	703	0	0
Solyc09g066400.2.1	1555	1376	304	25.475
Solyc01g091800.3.1	1494	1315	115	10.0839
Solyc06g054690.3.1	2403	2224	193	10.0065
Solyc12g056673.1.1	810	631	0	0
Solyc09g065250.2.1	962	783	0	0
Solyc04g049485.1.1	625	446	0	0
Solyc09g084460.3.1	645	466	95.3288	23.5883
Solyc02g067925.1.1	7689	7510	160.107	2.45827
Solyc12g006750.1.1	252	73.0112	6.17002	9.74441
Solyc03g122240.3.1	3244	3065	138	5.19167
Solyc01g109550.2.1	978	799	17	2.45336
Solyc06g007920.2.1	490	311	0	0
Solyc01g109780.3.1	2980	2801	217.275	8.94447
Solyc06g008460.2.1	390	211	0	0
Solyc06g011460.1.1	600	421	0	0
Solyc01g081630.3.1	2503	2324	8	0.396929
Solyc09g011040.1.1	1290	1111	0	0
Solyc01g080080.3.1	1806	1627	231	16.3713
Solyc10g081420.2.1	6066	5887	46.1198	0.903342
Solyc06g005780.1.1	357	178	43	27.8552
Solyc01g094080.3.1	2132	1953	55.6672	3.28667
Solyc06g069570.3.1	1494	1315	1020.13	89.4514
Solyc01g104590.3.1	2202	2023	4903	279.463
Solyc02g067510.3.1	922	743	0	0
Solyc12g062920.2.1	195	23.5677	0	0
Solyc12g007050.1.1	198	25.324	11	50.0863
Solyc03g026413.1.1	183	17.7996	0	0
Solyc09g064220.2.1	438	259	0	0
Solyc12g038970.2.1	2016	1837	108	6.77912
Solyc07g032745.1.1	1125	946	0	0
